NAICS Code,Success,County
32,-47827.5904930389,Allegany
92,-47827.5904930389,Allegany
52,-47827.5904930389,Allegany
45,554052.748251305,Garrett
81,320801.764916026,Garrett
92,182133.114749997,Garrett
72,128307.537406723,Garrett
56,-6954.43126634993,Garrett
11,-19499.5787120996,Garrett
44,-44568.7026603831,Garrett
54,-47633.6090733905,Garrett
31,-47785.5355344513,Garrett
33,-47827.5904900066,Garrett
53,-47827.5904911437,Garrett
51,-47827.5904930387,Garrett
23,-47827.5904930387,Garrett
42,-47827.5904930387,Garrett
61,-47827.5904930387,Garrett
62,-47827.5904930387,Garrett
71,-47827.5904930387,Garrett
32,-47827.5904930387,Garrett
32,1081923.14882012,Washington
53,238833.838898751,Washington
44,45928.5228290226,Washington
23,6438.30674136935,Washington
31,-2314.70016611758,Washington
72,-17607.6339937994,Washington
62,-24219.4818855112,Washington
45,-30262.6732684528,Washington
54,-32898.860783137,Washington
61,-38365.225378752,Washington
33,-39840.1203238048,Washington
48,-41878.8269959033,Washington
56,-42679.3236464517,Washington
71,-43412.1529638949,Washington
11,-45852.5069590147,Washington
81,-46152.6422911093,Washington
42,-47682.1044292501,Washington
51,-47827.5904922807,Washington
52,-47827.5904930387,Washington
22,-47827.5904930387,Washington
49,-47827.5904930387,Washington
92,-47827.5904930387,Washington
42,101320.976757704,Cecil
31,70541.7812609865,Cecil
72,37355.2778995296,Cecil
56,36642.0203312591,Cecil
11,-603.685442849521,Cecil
23,-16133.5116103199,Cecil
33,-19482.4106708737,Cecil
54,-19787.6684593377,Cecil
44,-22213.7163798851,Cecil
71,-23242.943961705,Cecil
32,-34900.7334054161,Cecil
61,-40902.980064719,Cecil
51,-41249.9514522702,Cecil
81,-46130.0782029933,Cecil
45,-46326.3687193315,Cecil
53,-46916.6772112093,Cecil
62,-47224.5161643726,Cecil
52,-47756.9812567467,Cecil
48,-47827.5904854585,Cecil
49,-47827.5904930388,Cecil
92,-47827.5904930388,Cecil
31,155590.458364097,Worcester
11,152899.163279213,Worcester
53,117056.615134082,Worcester
72,109146.2368035,Worcester
23,13589.9109116953,Worcester
81,7613.60404057441,Worcester
62,1934.6012863333,Worcester
44,-1769.85491514046,Worcester
56,-17588.5599625474,Worcester
33,-18021.0984651855,Worcester
42,-24366.4784308782,Worcester
61,-28688.0905457338,Worcester
32,-30202.9930501326,Worcester
51,-33185.2668220605,Worcester
48,-38446.2140217096,Worcester
45,-40779.5989533358,Worcester
54,-44323.4100311596,Worcester
21,-47827.5904930388,Worcester
92,-47827.5904930388,Worcester
52,-47827.5904930388,Worcester
71,-47827.5904930388,Worcester
51,1092960.47625822,Dorchester
48,255008.759232821,Dorchester
33,222813.282509791,Dorchester
11,201393.030581619,Dorchester
23,141161.28256468,Dorchester
31,47688.8599202428,Dorchester
54,26461.666641342,Dorchester
42,-7880.51197533393,Dorchester
62,-9363.84638584122,Dorchester
45,-11959.0319790041,Dorchester
32,-21316.7966420563,Dorchester
81,-22956.4660698833,Dorchester
72,-33269.8599667826,Dorchester
56,-42782.3452088871,Dorchester
44,-44086.8598796303,Dorchester
61,-47328.7811314779,Dorchester
21,-47439.6276486889,Dorchester
71,-47584.9657465349,Dorchester
53,-47754.8474592495,Dorchester
49,-47827.5904930389,Dorchester
92,-47827.5904930389,Dorchester
42,1093767.18833912,Caroline
44,84411.8519365207,Caroline
81,36127.5392853502,Caroline
45,4995.0419037441,Caroline
72,1247.46674334293,Caroline
62,431.058302134754,Caroline
53,-15238.7121968034,Caroline
56,-35432.2748480084,Caroline
11,-36499.0756578473,Caroline
31,-41736.5739557544,Caroline
32,-43947.9621152346,Caroline
48,-44788.5482710444,Caroline
61,-46081.7577275751,Caroline
33,-46373.6790242711,Caroline
71,-46965.4508549305,Caroline
54,-47814.6583951107,Caroline
23,-47827.5904930387,Caroline
49,-47827.5904930387,Caroline
22,-47827.5904930387,Caroline
52,-47827.5904930387,Caroline
